,Số báo danh,Toán,Văn,Lý,Hóa,Sinh,Sử,Địa,Giáo dục công dân,Ngoại ngữ,Mã môn ngoại ngữ,Tên ngoại ngữ
337,64000339,,5.25,7.75,7.25,5.25,,,,6.6,N1,Tiếng Anh
338,64000340,4.2,,,,,,6.25,9.25,4.6,N1,Tiếng Anh
339,64000341,6.8,6.5,7.5,7.5,6.5,,,,5.6,N1,Tiếng Anh
340,64000342,4.2,,,,,4.25,4.75,6.5,2.2,N1,Tiếng Anh
341,64000343,8.6,7.75,6.75,,4.5,,,,,N1,Tiếng Anh
342,64000344,6.2,6.75,,,,,5.75,,,N1,Tiếng Anh
343,64000345,5.6,5.75,,,,,5.5,,3.2,N1,Tiếng Anh
344,64000346,3.2,6.5,,,,5.75,5.5,,1.6,N1,Tiếng Anh
345,64000347,5.8,,,,,4.5,,7.75,4.4,N1,Tiếng Anh
346,64000348,8.4,,8.5,8.5,9.25,,,,6.6,N1,Tiếng Anh
347,64000349,6.2,,,,,7.75,7.5,9.25,5.8,N1,Tiếng Anh
348,64000350,7.2,6.25,7.25,7.75,5.5,,,,1.8,N1,Tiếng Anh
349,64000351,7.4,5.75,,6.25,,,,,9.2,N1,Tiếng Anh
350,64000352,,7.25,,,,6.5,7.5,8.75,,N1,Tiếng Anh
351,64000353,,7.5,,,,6.75,,,3.4,N1,Tiếng Anh
352,64000354,5.6,6.75,,,,4.5,6.75,6.5,3.6,N1,Tiếng Anh
353,64000355,6.6,,,,,8.5,7.25,8.5,3.2,N1,Tiếng Anh
354,64000356,,,,,,8.75,7.5,9.25,7.2,N1,Tiếng Anh
355,64000357,,6.75,,,,4.75,,7.75,,N1,Tiếng Anh
356,64000358,2.8,6.5,,,,6.5,6.75,8.5,3.4,N1,Tiếng Anh
357,64000359,6.6,6.5,,,,,5.75,8.75,6.8,N1,Tiếng Anh
358,64000360,,5.25,,,,,5.25,,2.6,N1,Tiếng Anh
359,64000361,,6.25,,,,7.75,7.75,9.75,2.8,N1,Tiếng Anh
